dataset,ep,t,n_obs,n_near,acc,rej,selected_feasible,nominal_ok,cert_ok,cert_time_ms,lp_time_ms,min_residual,reason
sdd,12,31,22,6,11,245,1,1,1,9.046700,1.941077,-6.661338147750939e-16,ok
sdd,93,6,12,6,106,150,1,1,1,7.359681,1.464883,0.0,ok
sdd,270,22,6,6,231,25,1,1,1,8.880869,1.380912,-1.1102230246251565e-16,ok
sdd,216,61,7,6,96,160,1,1,1,9.901115,1.383986,-4.440892098500626e-16,ok
sdd,107,35,22,6,122,134,1,1,1,7.920427,1.891085,-2.220446049250313e-16,ok
sdd,214,42,21,6,126,130,1,1,1,7.693256,1.630977,-2.220446049250313e-16,ok
sdd,233,43,14,5,0,256,0,0,0,4.548915,1.256672,nan,LP_infeasible
sdd,184,25,6,5,0,256,0,0,0,0.382265,nan,nan,no_positive_tangent_margin
sdd,132,8,16,5,0,256,0,0,0,0.369494,nan,nan,no_positive_tangent_margin
sdd,74,28,16,5,56,200,1,1,1,5.290903,1.419774,-2.220446049250313e-16,ok
sdd,219,10,7,5,169,87,1,1,1,7.061013,1.389719,-2.220446049250313e-16,ok
sdd,293,29,6,5,0,256,0,0,0,0.419058,nan,nan,no_positive_tangent_margin
sdd,285,29,6,5,149,107,1,1,1,7.251934,1.434218,-4.440892098500626e-16,ok
sdd,181,52,7,5,239,17,1,1,1,11.983636,1.339897,-4.440892098500626e-16,ok
sdd,89,40,12,5,214,42,1,1,1,6.997337,1.330849,-2.220446049250313e-16,ok
sdd,256,39,19,5,27,229,1,1,1,5.393179,1.279566,-1.2212453270876722e-15,ok
sdd,298,36,16,5,160,96,1,1,1,8.038368,1.579726,-4.440892098500626e-16,ok
sdd,3,22,17,5,249,7,1,1,1,4.633678,1.581022,-4.440892098500626e-16,ok
sdd,46,65,15,5,0,256,0,0,1,3.839005,1.252452,-4.440892098500626e-16,ok
sdd,204,4,8,5,253,3,1,1,1,2.811171,1.282975,-1.1102230246251565e-16,ok
sdd,235,0,5,5,249,7,1,1,1,8.800844,1.355239,-1.1102230246251565e-16,ok
sdd,57,2,8,5,256,0,1,1,1,30.327121,1.340922,-1.1102230246251565e-16,ok
sdd,222,12,5,5,241,15,1,1,1,10.181687,1.445417,-2.220446049250313e-16,ok
sdd,193,47,24,5,176,80,1,1,1,7.498028,1.335094,-4.440892098500626e-16,ok
sdd,236,0,13,5,53,203,1,1,1,7.221135,1.381902,-1.1102230246251565e-16,ok
