dataset,ep,t,n_obs,n_near,acc,rej,selected_feasible,nominal_ok,cert_ok,cert_time_ms,lp_time_ms,min_residual,reason
ucy,127,23,40,16,6,250,1,1,1,72.854100,56.088368,-3.3306690738754696e-16,ok
ucy,79,56,27,14,0,256,0,0,0,18.017451,1.294625,nan,LP_infeasible
ucy,98,27,52,14,101,155,1,1,1,69.954846,1.479016,-2.220446049250313e-16,ok
ucy,137,10,31,13,0,256,0,0,1,13.305263,1.445672,-2.220446049250313e-16,ok
ucy,85,56,32,13,173,83,1,1,1,11.848466,1.452304,-1.2212453270876722e-15,ok
ucy,265,59,31,13,177,79,1,1,1,12.047347,1.803565,-5.551115123125783e-16,ok
ucy,223,12,31,13,0,256,0,0,0,50.294920,1.286087,nan,LP_infeasible
ucy,37,62,30,12,167,89,1,1,1,10.420780,1.594808,-4.440892098500626e-16,ok
ucy,15,32,47,12,42,214,1,1,1,16.731655,1.449288,-2.220446049250313e-16,ok
ucy,24,33,41,11,202,54,1,1,1,9.543727,1.319409,-2.220446049250313e-16,ok
ucy,104,53,22,11,187,69,1,1,1,45.923660,1.446697,-2.220446049250313e-16,ok
ucy,194,27,25,11,0,256,0,0,0,13.233766,1.118594,nan,LP_infeasible
ucy,88,0,52,11,227,29,1,1,1,14.340505,1.365568,-1.1102230246251565e-16,ok
ucy,173,6,28,10,0,256,0,0,1,12.866016,1.290574,-1.1102230246251565e-16,ok
ucy,117,28,27,10,0,256,0,0,1,12.300354,1.332161,-2.55351295663786e-15,ok
ucy,70,4,28,10,125,131,1,1,1,11.125882,1.433199,-1.1102230246251565e-16,ok
ucy,130,27,22,10,9,247,1,1,1,13.108533,1.598832,-8.881784197001252e-16,ok
ucy,290,37,21,10,8,248,1,1,1,12.239962,1.430743,-2.220446049250313e-16,ok
ucy,111,14,39,9,0,256,0,0,1,12.588699,1.338020,-4.440892098500626e-16,ok
ucy,294,24,10,9,0,256,0,0,1,82.762280,71.460054,-3.3306690738754696e-16,ok
ucy,126,24,24,9,170,86,1,1,1,193.987686,89.924662,-2.220446049250313e-16,ok
ucy,92,20,30,9,184,72,1,1,1,11.323651,1.317079,-2.220446049250313e-16,ok
ucy,284,28,29,9,174,82,1,1,1,11.643394,1.441272,-4.440892098500626e-16,ok
ucy,110,27,35,9,10,246,1,1,1,13.757812,1.692200,-3.3306690738754696e-16,ok
ucy,242,36,27,9,183,73,1,1,1,13.117349,1.800634,-3.3306690738754696e-16,ok
